"Scenario","Test","n","Replications","Power"
"Uniform_-6_6","giviti_calib",1000,10000,5e-04
"Uniform_-6_6","giviti_calib_internal",1000,10000,0.0453
"Uniform_-6_6","traditional_HL",1000,10000,0.0503
"Uniform_-6_6","pearson",1000,10000,0.1942
"Uniform_-6_6","deviance",1000,10000,0
"Uniform_-6_6","hl_ftest",1000,10000,0.9178
"Uniform_-6_6","osius_rojek",1000,10000,0.0449
"Uniform_-6_6","s_st_pgeq0_5",1000,10000,0.0465
"Uniform_-6_6","s_st_pl0_5",1000,10000,0.0449
"Uniform_-6_6","sst_both",1000,10000,0.0607
"Uniform_-6_6","large_s_hl",1000,10000,0.0503
"Uniform_-6_6","spiegelhalter",1000,10000,0
"Uniform_-6_6","Copas_unweighted_S",1000,10000,0.0494
"Uniform_-6_6","pigeonheyse",1000,10000,0.0343
"Uniform_-6_6","xie",1000,10000,0.025
"Uniform_-6_6","eHL",1000,10000,0.002
"Uniform_-6_6","U_p",1000,10000,0
"Uniform_-6_6","HL_GAM",1000,10000,0.0441
"Uniform_-6_6","PR_GAM",1000,0,NA
"Uniform_-6_6","XIE_GAM",1000,10000,0.0506
"Uniform_-6_6","Farrington_standalone",1000,10000,0
"Uniform_-6_6","IM_efficient",1000,10000,0.0502
"Uniform_-6_6","McCullagh_Test",1000,10000,0.0597
"Uniform_-6_6","leCessie_Test",1000,10000,0.0776
"Uniform_-6_6","bagoft_parallel",1000,1000,0.044
"Uniform_-6_6","hosmer_equal_width",1000,10000,0.0508
"Uniform_-6_6","bagoft_test_NO_SIM_Split_1",1000,10000,0.0697
"Uniform_-6_6","PR_test",1000,0,NA
"Uniform_-6_6","bagoft_test_Split_20",1000,10000,0
"Uniform_-6_6","stute_zhu_test",1000,10000,0.0524
"Uniform_-6_6","Tsiatis_clustering",1000,10000,0.0506
"Uniform_-6_6","hosmer_bootstrap",1000,10000,0.109
"Uniform_-6_6","eHL_10",1000,10000,0.0048
"Uniform_-6_6","Final_Farrington_G10",1000,10000,0.0612
"Uniform_-6_6","traditional_HL",100000,10000,0.0498
"Uniform_-6_6","pigeonheyse",100000,10000,0.032
"Uniform_-6_6","Final_Farrington_G10",100000,10000,0.0675
"Uniform_-6_6","traditional_HL",1000000,10000,0.0522
"Uniform_-6_6","pigeonheyse",1000000,10000,0.0317
"Uniform_-6_6","Final_Farrington_G10",1000000,10000,0.0693
"Uniform_-6_6","giviti_calib",200,10000,8e-04
"Uniform_-6_6","giviti_calib_internal",200,10000,0.0555
"Uniform_-6_6","traditional_HL",200,10000,0.0503
"Uniform_-6_6","pearson",200,10000,0.1713
"Uniform_-6_6","deviance",200,10000,0
"Uniform_-6_6","hl_ftest",200,10000,0.2482
"Uniform_-6_6","osius_rojek",200,10000,0.0474
"Uniform_-6_6","s_st_pgeq0_5",200,10000,0.0471
"Uniform_-6_6","s_st_pl0_5",200,10000,0.0433
"Uniform_-6_6","sst_both",200,10000,0.0682
"Uniform_-6_6","large_s_hl",200,10000,0.0501
"Uniform_-6_6","spiegelhalter",200,10000,0
"Uniform_-6_6","Copas_unweighted_S",200,10000,0.0505
"Uniform_-6_6","pigeonheyse",200,10000,0.0358
"Uniform_-6_6","xie",200,10000,0.0324
"Uniform_-6_6","eHL",200,10000,7e-04
"Uniform_-6_6","U_p",200,10000,0
"Uniform_-6_6","HL_GAM",200,10000,0.0367
"Uniform_-6_6","PR_GAM",200,0,NA
"Uniform_-6_6","XIE_GAM",200,10000,0.0584
"Uniform_-6_6","Farrington_standalone",200,10000,0
"Uniform_-6_6","IM_efficient",200,10000,0.047
"Uniform_-6_6","McCullagh_Test",200,10000,0.0689
"Uniform_-6_6","leCessie_Test",200,10000,0.0754
"Uniform_-6_6","bagoft_parallel",200,1000,0.05
"Uniform_-6_6","hosmer_equal_width",200,10000,0.0485
"Uniform_-6_6","bagoft_test_NO_SIM_Split_1",200,10000,0.1117
"Uniform_-6_6","PR_test",200,0,NA
"Uniform_-6_6","bagoft_test_Split_20",200,10000,2e-04
"Uniform_-6_6","stute_zhu_test",200,10000,0.0462
"Uniform_-6_6","Tsiatis_clustering",200,10000,0.0543
"Uniform_-6_6","hosmer_bootstrap",200,10000,0.1815
"Uniform_-6_6","eHL_10",200,10000,0.0026
"Uniform_-6_6","Final_Farrington_G10",200,10000,0.0528
"Uniform_-6_6","giviti_calib",2000,10000,3e-04
"Uniform_-6_6","giviti_calib_internal",2000,10000,0.0512
"Uniform_-6_6","traditional_HL",2000,10000,0.0483
"Uniform_-6_6","pearson",2000,10000,0.2063
"Uniform_-6_6","deviance",2000,10000,0
"Uniform_-6_6","hl_ftest",2000,10000,0.9981
"Uniform_-6_6","osius_rojek",2000,10000,0.0484
"Uniform_-6_6","s_st_pgeq0_5",2000,10000,0.0499
"Uniform_-6_6","s_st_pl0_5",2000,10000,0.0508
"Uniform_-6_6","sst_both",2000,10000,0.0655
"Uniform_-6_6","large_s_hl",2000,10000,0.0481
"Uniform_-6_6","spiegelhalter",2000,10000,0
"Uniform_-6_6","Copas_unweighted_S",2000,10000,0.0485
"Uniform_-6_6","pigeonheyse",2000,10000,0.0311
"Uniform_-6_6","xie",2000,10000,0.0224
"Uniform_-6_6","eHL",2000,10000,0.0018
"Uniform_-6_6","U_p",2000,10000,0
"Uniform_-6_6","HL_GAM",2000,10000,0.046
"Uniform_-6_6","PR_GAM",2000,0,NA
"Uniform_-6_6","XIE_GAM",2000,10000,0.0468
"Uniform_-6_6","Farrington_standalone",2000,10000,0
"Uniform_-6_6","IM_efficient",2000,10000,0.0463
"Uniform_-6_6","McCullagh_Test",2000,10000,0.0562
"Uniform_-6_6","leCessie_Test",2000,10000,0.0783
"Uniform_-6_6","bagoft_parallel",2000,1000,0.047
"Uniform_-6_6","hosmer_equal_width",2000,10000,0.0473
"Uniform_-6_6","bagoft_test_NO_SIM_Split_1",2000,10000,0.0626
"Uniform_-6_6","PR_test",2000,0,NA
"Uniform_-6_6","bagoft_test_Split_20",2000,10000,0
"Uniform_-6_6","stute_zhu_test",2000,10000,0.0531
"Uniform_-6_6","Tsiatis_clustering",2000,10000,0.0496
"Uniform_-6_6","hosmer_bootstrap",2000,10000,0.1039
"Uniform_-6_6","eHL_10",2000,10000,0.0045
"Uniform_-6_6","Final_Farrington_G10",2000,10000,0.0667
"Uniform_-6_6","traditional_HL",25000,10000,0.048
"Uniform_-6_6","pigeonheyse",25000,10000,0.0309
"Uniform_-6_6","Final_Farrington_G10",25000,10000,0.0668
"Uniform_-6_6","giviti_calib",500,10000,4e-04
"Uniform_-6_6","giviti_calib_internal",500,10000,0.0482
"Uniform_-6_6","traditional_HL",500,10000,0.0514
"Uniform_-6_6","pearson",500,10000,0.1945
"Uniform_-6_6","deviance",500,10000,0
"Uniform_-6_6","hl_ftest",500,10000,0.6199
"Uniform_-6_6","osius_rojek",500,10000,0.043
"Uniform_-6_6","s_st_pgeq0_5",500,10000,0.0458
"Uniform_-6_6","s_st_pl0_5",500,10000,0.0478
"Uniform_-6_6","sst_both",500,10000,0.0641
"Uniform_-6_6","large_s_hl",500,10000,0.0513
"Uniform_-6_6","spiegelhalter",500,10000,0
"Uniform_-6_6","Copas_unweighted_S",500,10000,0.0496
"Uniform_-6_6","pigeonheyse",500,10000,0.0354
"Uniform_-6_6","xie",500,10000,0.0267
"Uniform_-6_6","eHL",500,10000,0.0018
"Uniform_-6_6","U_p",500,10000,0
"Uniform_-6_6","HL_GAM",500,10000,0.0415
"Uniform_-6_6","PR_GAM",500,0,NA
"Uniform_-6_6","XIE_GAM",500,10000,0.0518
"Uniform_-6_6","Farrington_standalone",500,10000,0
"Uniform_-6_6","IM_efficient",500,10000,0.0451
"Uniform_-6_6","McCullagh_Test",500,10000,0.0631
"Uniform_-6_6","leCessie_Test",500,10000,0.0752
"Uniform_-6_6","bagoft_parallel",500,1000,0.059
"Uniform_-6_6","hosmer_equal_width",500,10000,0.0479
"Uniform_-6_6","bagoft_test_NO_SIM_Split_1",500,10000,0.0783
"Uniform_-6_6","PR_test",500,0,NA
"Uniform_-6_6","bagoft_test_Split_20",500,10000,0
"Uniform_-6_6","stute_zhu_test",500,10000,0.0476
"Uniform_-6_6","Tsiatis_clustering",500,10000,0.056
"Uniform_-6_6","hosmer_bootstrap",500,10000,0.1005
"Uniform_-6_6","eHL_10",500,10000,0.0042
"Uniform_-6_6","Final_Farrington_G10",500,10000,0.0606
"Uniform_-6_6","giviti_calib",5000,10000,6e-04
"Uniform_-6_6","giviti_calib_internal",5000,10000,0.0475
"Uniform_-6_6","traditional_HL",5000,10000,0.0519
"Uniform_-6_6","large_s_hl",5000,10000,0.0506
"Uniform_-6_6","hosmer_equal_width",5000,10000,0.0495
"Uniform_-6_6","pearson",5000,10000,0.2062
"Uniform_-6_6","deviance",5000,10000,0
"Uniform_-6_6","hl_ftest",5000,10000,1
"Uniform_-6_6","osius_rojek",5000,10000,0.0503
"Uniform_-6_6","s_st_pgeq0_5",5000,10000,0.0503
"Uniform_-6_6","s_st_pl0_5",5000,10000,0.0475
"Uniform_-6_6","sst_both",5000,10000,0.0653
"Uniform_-6_6","spiegelhalter",5000,10000,0
"Uniform_-6_6","Copas_unweighted_S",5000,10000,0.0533
"Uniform_-6_6","pigeonheyse",5000,10000,0.0322
"Uniform_-6_6","xie",5000,10000,0.0273
"Uniform_-6_6","eHL",5000,10000,0.0026
"Uniform_-6_6","U_p",5000,10000,0
"Uniform_-6_6","HL_GAM",5000,10000,0.0512
"Uniform_-6_6","PR_GAM",5000,0,NA
"Uniform_-6_6","XIE_GAM",5000,10000,0.0495
"Uniform_-6_6","Farrington_standalone",5000,10000,0
"Uniform_-6_6","IM_efficient",5000,10000,0.0537
"Uniform_-6_6","McCullagh_Test",5000,1000,0.047
"Uniform_-6_6","leCessie_Test",5000,1000,0.067
"Uniform_-6_6","bagoft_parallel",5000,1000,0.045
"Uniform_-6_6","bagoft_test_NO_SIM_Split_1",5000,10000,0.0566
"Uniform_-6_6","PR_test",5000,0,NA
"Uniform_-6_6","bagoft_test_Split_20",5000,10000,0
"Uniform_-6_6","stute_zhu_test",5000,10000,0.0503
"Uniform_-6_6","Tsiatis_clustering",5000,10000,0.049
"Uniform_-6_6","hosmer_bootstrap",5000,10000,0.1086
"Uniform_-6_6","eHL_10",5000,10000,0.0024
"Uniform_-6_6","Final_Farrington_G10",5000,10000,0.0672
"Uniform_-3_3","giviti_calib",1000,10000,5e-04
"Uniform_-3_3","giviti_calib_internal",1000,10000,0.0467
"Uniform_-3_3","traditional_HL",1000,10000,0.0468
"Uniform_-3_3","pearson",1000,10000,0
"Uniform_-3_3","deviance",1000,10000,0.2166
"Uniform_-3_3","osius_rojek",1000,10000,0.0599
"Uniform_-3_3","s_st_pgeq0_5",1000,10000,0.0481
"Uniform_-3_3","s_st_pl0_5",1000,10000,0.0504
"Uniform_-3_3","sst_both",1000,10000,0.0671
"Uniform_-3_3","large_s_hl",1000,10000,0.0464
"Uniform_-3_3","spiegelhalter",1000,10000,0
"Uniform_-3_3","Copas_unweighted_S",1000,10000,0.0548
"Uniform_-3_3","pigeonheyse",1000,10000,0.0302
"Uniform_-3_3","xie",1000,10000,0.0233
"Uniform_-3_3","eHL",1000,10000,0.0016
"Uniform_-3_3","U_p",1000,10000,0
"Uniform_-3_3","HL_GAM",1000,10000,0.0393
"Uniform_-3_3","PR_GAM",1000,0,NA
"Uniform_-3_3","XIE_GAM",1000,10000,0.0492
"Uniform_-3_3","Farrington_standalone",1000,10000,0
"Uniform_-3_3","IM_efficient",1000,10000,0.0534
"Uniform_-3_3","McCullagh_Test",1000,10000,0.055
"Uniform_-3_3","leCessie_Test",1000,10000,0.0667
"Uniform_-3_3","bagoft_parallel",1000,1000,0.048
"Uniform_-3_3","hosmer_equal_width",1000,10000,0.0481
"Uniform_-3_3","bagoft_test_NO_SIM_Split_1",1000,10000,0.0698
"Uniform_-3_3","PR_test",1000,0,NA
"Uniform_-3_3","bagoft_test_Split_20",1000,10000,0
"Uniform_-3_3","stute_zhu_test",1000,10000,0.051
"Uniform_-3_3","Tsiatis_clustering",1000,10000,0.0488
"Uniform_-3_3","hl_ftest",1000,10000,0.604
"Uniform_-3_3","hosmer_bootstrap",1000,10000,0.1122
"Uniform_-3_3","eHL_10",1000,10000,0.0035
"Uniform_-3_3","Final_Farrington_G10",1000,10000,0.0676
"Uniform_-3_3","traditional_HL",100000,10000,0.0489
"Uniform_-3_3","pigeonheyse",100000,10000,0.0313
"Uniform_-3_3","Final_Farrington_G10",100000,10000,0.0672
"Uniform_-3_3","traditional_HL",1000000,10000,0.0499
"Uniform_-3_3","pigeonheyse",1000000,10000,0.0319
"Uniform_-3_3","Final_Farrington_G10",1000000,10000,0.0688
"Uniform_-3_3","giviti_calib",200,10000,0.0013
"Uniform_-3_3","giviti_calib_internal",200,10000,0.0556
"Uniform_-3_3","traditional_HL",200,10000,0.0498
"Uniform_-3_3","pearson",200,10000,0.0017
"Uniform_-3_3","deviance",200,10000,0.0368
"Uniform_-3_3","hl_ftest",200,10000,0.1393
"Uniform_-3_3","osius_rojek",200,10000,0.072
"Uniform_-3_3","s_st_pgeq0_5",200,10000,0.0528
"Uniform_-3_3","s_st_pl0_5",200,10000,0.0531
"Uniform_-3_3","sst_both",200,10000,0.0715
"Uniform_-3_3","large_s_hl",200,10000,0.0498
"Uniform_-3_3","spiegelhalter",200,10000,0
"Uniform_-3_3","Copas_unweighted_S",200,10000,0.0519
"Uniform_-3_3","pigeonheyse",200,10000,0.0333
"Uniform_-3_3","xie",200,10000,0.0236
"Uniform_-3_3","eHL",200,10000,9e-04
"Uniform_-3_3","U_p",200,10000,0
"Uniform_-3_3","HL_GAM",200,10000,0.0353
"Uniform_-3_3","PR_GAM",200,0,NA
"Uniform_-3_3","XIE_GAM",200,10000,0.0495
"Uniform_-3_3","Farrington_standalone",200,10000,0
"Uniform_-3_3","IM_efficient",200,10000,0.0524
"Uniform_-3_3","McCullagh_Test",200,10000,0.0545
"Uniform_-3_3","leCessie_Test",200,10000,0.0675
"Uniform_-3_3","bagoft_parallel",200,1000,0.051
"Uniform_-3_3","hosmer_equal_width",200,10000,0.052
"Uniform_-3_3","bagoft_test_NO_SIM_Split_1",200,10000,0.1026
"Uniform_-3_3","PR_test",200,0,NA
"Uniform_-3_3","bagoft_test_Split_20",200,10000,1e-04
"Uniform_-3_3","stute_zhu_test",200,10000,0.0474
"Uniform_-3_3","Tsiatis_clustering",200,10000,0.0463
"Uniform_-3_3","hosmer_bootstrap",200,10000,0.2311
"Uniform_-3_3","eHL_10",200,10000,0.0027
"Uniform_-3_3","Final_Farrington_G10",200,10000,0.0648
"Uniform_-3_3","giviti_calib",2000,10000,4e-04
"Uniform_-3_3","giviti_calib_internal",2000,10000,0.0509
"Uniform_-3_3","traditional_HL",2000,10000,0.0481
"Uniform_-3_3","pearson",2000,10000,0
"Uniform_-3_3","deviance",2000,10000,0.4399
"Uniform_-3_3","hl_ftest",2000,10000,0.8977
"Uniform_-3_3","osius_rojek",2000,10000,0.0569
"Uniform_-3_3","s_st_pgeq0_5",2000,10000,0.0523
"Uniform_-3_3","s_st_pl0_5",2000,10000,0.0483
"Uniform_-3_3","sst_both",2000,10000,0.0704
"Uniform_-3_3","large_s_hl",2000,10000,0.0474
"Uniform_-3_3","spiegelhalter",2000,10000,0
"Uniform_-3_3","Copas_unweighted_S",2000,10000,0.0523
"Uniform_-3_3","pigeonheyse",2000,10000,0.0305
"Uniform_-3_3","xie",2000,10000,0.0273
"Uniform_-3_3","eHL",2000,10000,0.0022
"Uniform_-3_3","U_p",2000,10000,0
"Uniform_-3_3","HL_GAM",2000,10000,0.0432
"Uniform_-3_3","PR_GAM",2000,0,NA
"Uniform_-3_3","XIE_GAM",2000,10000,0.052
"Uniform_-3_3","Farrington_standalone",2000,10000,0
"Uniform_-3_3","IM_efficient",2000,10000,0.0516
"Uniform_-3_3","McCullagh_Test",2000,10000,0.0488
"Uniform_-3_3","leCessie_Test",2000,10000,0.0659
"Uniform_-3_3","bagoft_parallel",2000,1000,0.043
"Uniform_-3_3","hosmer_equal_width",2000,10000,0.0481
"Uniform_-3_3","bagoft_test_NO_SIM_Split_1",2000,10000,0.0603
"Uniform_-3_3","PR_test",2000,0,NA
"Uniform_-3_3","bagoft_test_Split_20",2000,10000,0
"Uniform_-3_3","stute_zhu_test",2000,10000,0.0498
"Uniform_-3_3","Tsiatis_clustering",2000,10000,0.0524
"Uniform_-3_3","hosmer_bootstrap",2000,10000,0.1082
"Uniform_-3_3","eHL_10",2000,10000,0.0034
"Uniform_-3_3","Final_Farrington_G10",2000,10000,0.0664
"Uniform_-3_3","traditional_HL",25000,10000,0.0512
"Uniform_-3_3","pigeonheyse",25000,10000,0.0327
"Uniform_-3_3","Final_Farrington_G10",25000,10000,0.0666
"Uniform_-3_3","giviti_calib",500,10000,4e-04
"Uniform_-3_3","giviti_calib_internal",500,10000,0.0517
"Uniform_-3_3","traditional_HL",500,10000,0.0484
"Uniform_-3_3","pearson",500,10000,1e-04
"Uniform_-3_3","deviance",500,10000,0.1023
"Uniform_-3_3","hl_ftest",500,10000,0.3263
"Uniform_-3_3","osius_rojek",500,10000,0.0561
"Uniform_-3_3","s_st_pgeq0_5",500,10000,0.0473
"Uniform_-3_3","s_st_pl0_5",500,10000,0.0524
"Uniform_-3_3","sst_both",500,10000,0.0705
"Uniform_-3_3","large_s_hl",500,10000,0.0483
"Uniform_-3_3","spiegelhalter",500,10000,0
"Uniform_-3_3","Copas_unweighted_S",500,10000,0.0454
"Uniform_-3_3","pigeonheyse",500,10000,0.03
"Uniform_-3_3","xie",500,10000,0.0219
"Uniform_-3_3","eHL",500,10000,0.0015
"Uniform_-3_3","U_p",500,10000,0
"Uniform_-3_3","HL_GAM",500,10000,0.0352
"Uniform_-3_3","PR_GAM",500,0,NA
"Uniform_-3_3","XIE_GAM",500,10000,0.0453
"Uniform_-3_3","Farrington_standalone",500,10000,0
"Uniform_-3_3","IM_efficient",500,10000,0.0503
"Uniform_-3_3","McCullagh_Test",500,10000,0.0516
"Uniform_-3_3","leCessie_Test",500,10000,0.0587
"Uniform_-3_3","bagoft_parallel",500,1000,0.049
"Uniform_-3_3","hosmer_equal_width",500,10000,0.0524
"Uniform_-3_3","bagoft_test_NO_SIM_Split_1",500,10000,0.0825
"Uniform_-3_3","PR_test",500,0,NA
"Uniform_-3_3","bagoft_test_Split_20",500,10000,0
"Uniform_-3_3","stute_zhu_test",500,10000,0.0474
"Uniform_-3_3","Tsiatis_clustering",500,10000,0.0489
"Uniform_-3_3","hosmer_bootstrap",500,10000,0.107
"Uniform_-3_3","eHL_10",500,10000,0.0039
"Uniform_-3_3","Final_Farrington_G10",500,10000,0.0687
"Uniform_-3_3","giviti_calib",5000,10000,2e-04
"Uniform_-3_3","giviti_calib_internal",5000,10000,0.051
"Uniform_-3_3","traditional_HL",5000,10000,0.0504
"Uniform_-3_3","large_s_hl",5000,10000,0.0489
"Uniform_-3_3","hosmer_equal_width",5000,10000,0.0488
"Uniform_-3_3","pearson",5000,10000,0
"Uniform_-3_3","deviance",5000,10000,0.8709
"Uniform_-3_3","hl_ftest",5000,10000,0.9995
"Uniform_-3_3","osius_rojek",5000,10000,0.0507
"Uniform_-3_3","s_st_pgeq0_5",5000,10000,0.0509
"Uniform_-3_3","s_st_pl0_5",5000,10000,0.0491
"Uniform_-3_3","sst_both",5000,10000,0.0706
"Uniform_-3_3","spiegelhalter",5000,10000,0
"Uniform_-3_3","Copas_unweighted_S",5000,10000,0.051
"Uniform_-3_3","pigeonheyse",5000,10000,0.0301
"Uniform_-3_3","xie",5000,10000,0.0239
"Uniform_-3_3","eHL",5000,10000,0.0021
"Uniform_-3_3","U_p",5000,10000,0
"Uniform_-3_3","HL_GAM",5000,10000,0.0496
"Uniform_-3_3","PR_GAM",5000,0,NA
"Uniform_-3_3","XIE_GAM",5000,10000,0.0521
"Uniform_-3_3","Farrington_standalone",5000,10000,0
"Uniform_-3_3","IM_efficient",5000,10000,0.0488
"Uniform_-3_3","McCullagh_Test",5000,1000,0.058
"Uniform_-3_3","leCessie_Test",5000,1000,0.058
"Uniform_-3_3","bagoft_parallel",5000,1000,0.053
"Uniform_-3_3","bagoft_test_NO_SIM_Split_1",5000,10000,0.0545
"Uniform_-3_3","PR_test",5000,0,NA
"Uniform_-3_3","bagoft_test_Split_20",5000,10000,0
"Uniform_-3_3","stute_zhu_test",5000,10000,0.0505
"Uniform_-3_3","Tsiatis_clustering",5000,10000,0.051
"Uniform_-3_3","hosmer_bootstrap",5000,10000,0.1102
"Uniform_-3_3","eHL_10",5000,10000,0.0038
"Uniform_-3_3","Final_Farrington_G10",5000,10000,0.0686
"Normal_0_1.5","giviti_calib",1000,10000,1e-04
"Normal_0_1.5","giviti_calib_internal",1000,10000,0.0488
"Normal_0_1.5","traditional_HL",1000,10000,0.0475
"Normal_0_1.5","pearson",1000,10000,0.0044
"Normal_0_1.5","deviance",1000,10000,0.9888
"Normal_0_1.5","hl_ftest",1000,10000,0.3513
"Normal_0_1.5","osius_rojek",1000,10000,0.0492
"Normal_0_1.5","s_st_pgeq0_5",1000,10000,0.0507
"Normal_0_1.5","s_st_pl0_5",1000,10000,0.0485
"Normal_0_1.5","sst_both",1000,10000,0.0654
"Normal_0_1.5","large_s_hl",1000,10000,0.0472
"Normal_0_1.5","spiegelhalter",1000,10000,0
"Normal_0_1.5","Copas_unweighted_S",1000,10000,0.0491
"Normal_0_1.5","pigeonheyse",1000,10000,0.0308
"Normal_0_1.5","xie",1000,10000,0.0241
"Normal_0_1.5","eHL",1000,10000,0.0017
"Normal_0_1.5","U_p",1000,10000,0
"Normal_0_1.5","HL_GAM",1000,10000,0.0444
"Normal_0_1.5","PR_GAM",1000,0,NA
"Normal_0_1.5","XIE_GAM",1000,10000,0.0494
"Normal_0_1.5","Farrington_standalone",1000,10000,0
"Normal_0_1.5","IM_efficient",1000,10000,0.0505
"Normal_0_1.5","McCullagh_Test",1000,10000,0.06
"Normal_0_1.5","leCessie_Test",1000,10000,0.0694
"Normal_0_1.5","bagoft_parallel",1000,1000,0.057
"Normal_0_1.5","hosmer_equal_width",1000,10000,0.0486
"Normal_0_1.5","bagoft_test_NO_SIM_Split_1",1000,10000,0.0645
"Normal_0_1.5","PR_test",1000,0,NA
"Normal_0_1.5","bagoft_test_Split_20",1000,10000,0
"Normal_0_1.5","stute_zhu_test",1000,10000,0.053
"Normal_0_1.5","Tsiatis_clustering",1000,10000,0.0491
"Normal_0_1.5","hosmer_bootstrap",1000,10000,0.112
"Normal_0_1.5","eHL_10",1000,10000,0.0043
"Normal_0_1.5","Final_Farrington_G10",1000,10000,0.0663
"Normal_0_1.5","traditional_HL",100000,10000,0.0496
"Normal_0_1.5","pigeonheyse",100000,10000,0.0297
"Normal_0_1.5","Final_Farrington_G10",100000,10000,0.0664
"Normal_0_1.5","traditional_HL",1000000,10000,0.0501
"Normal_0_1.5","pigeonheyse",1000000,10000,0.0314
"Normal_0_1.5","Final_Farrington_G10",1000000,10000,0.0683
"Normal_0_1.5","giviti_calib",200,10000,1e-04
"Normal_0_1.5","giviti_calib_internal",200,10000,0.0477
"Normal_0_1.5","traditional_HL",200,10000,0.0486
"Normal_0_1.5","pearson",200,10000,0.0093
"Normal_0_1.5","deviance",200,10000,0.3481
"Normal_0_1.5","hl_ftest",200,10000,0.0992
"Normal_0_1.5","osius_rojek",200,10000,0.0583
"Normal_0_1.5","s_st_pgeq0_5",200,10000,0.0444
"Normal_0_1.5","s_st_pl0_5",200,10000,0.0463
"Normal_0_1.5","sst_both",200,10000,0.0618
"Normal_0_1.5","large_s_hl",200,10000,0.0486
"Normal_0_1.5","spiegelhalter",200,10000,0
"Normal_0_1.5","Copas_unweighted_S",200,10000,0.0421
"Normal_0_1.5","pigeonheyse",200,10000,0.0295
"Normal_0_1.5","xie",200,10000,0.0329
"Normal_0_1.5","eHL",200,10000,9e-04
"Normal_0_1.5","U_p",200,10000,0
"Normal_0_1.5","HL_GAM",200,10000,0.0381
"Normal_0_1.5","PR_GAM",200,0,NA
"Normal_0_1.5","XIE_GAM",200,10000,0.0556
"Normal_0_1.5","Farrington_standalone",200,10000,0
"Normal_0_1.5","IM_efficient",200,10000,0.0469
"Normal_0_1.5","McCullagh_Test",200,10000,0.0597
"Normal_0_1.5","leCessie_Test",200,10000,0.0713
"Normal_0_1.5","bagoft_parallel",200,1000,0.05
"Normal_0_1.5","hosmer_equal_width",200,10000,0.0546
"Normal_0_1.5","bagoft_test_NO_SIM_Split_1",200,10000,0.1072
"Normal_0_1.5","PR_test",200,0,NA
"Normal_0_1.5","bagoft_test_Split_20",200,10000,2e-04
"Normal_0_1.5","stute_zhu_test",200,10000,0.051
"Normal_0_1.5","Tsiatis_clustering",200,10000,0.0526
"Normal_0_1.5","hosmer_bootstrap",200,10000,0.2431
"Normal_0_1.5","eHL_10",200,10000,0.0024
"Normal_0_1.5","Final_Farrington_G10",200,10000,0.0622
"Normal_0_1.5","giviti_calib",2000,10000,4e-04
